00017F	6	Experience Music Project
000180	6	AOpen, Inc.
000181	6	Nortel Networks
000182	6	Dica Technologies Ag
000183	6	Anite Telecoms
000184	6	Sieb & Meyer Ag
000185	6	Hitachi Aloka Medical, Ltd.
000186	6	Uwe Disch
000187	6	I2SE GmbH
000188	6	LXCO Technologies ag
000189	6	Refraction Technology, Inc.
00018A	6	Roi Computer Ag
00018B	6	NetLinks Co., Ltd.
00018C	6	Mega Vision
00018D	6	AudeSi Technologies
00018E	6	Logitec Corporation
00018F	6	Kenetec, Inc.
000190	6	Smk-M
000191	6	SYRED Data Systems
000192	6	Texas Digital Systems
000193	6	Hanbyul Telecom Co., Ltd.
000194	6	Capital Equipment Corporation
000195	6	Sena Technologies, Inc.
000196	6	Cisco Systems, Inc
000197	6	Cisco Systems, Inc
000198	6	Darim Vision
000199	6	HeiSei Electronics
00019A	6	LEUNIG GmbH
00019B	6	Kyoto Microcomputer Co., Ltd.
00019C	6	Lumentum
00019D	6	E-Control Systems, Inc.
00019E	6	ESS Technology, Inc.
00019F	6	ReadyNet
0001A0	6	Infinilink Corporation
0001A1	6	Mag-Tek, Inc.
0001A2	6	Logical Co., Ltd.
0001A3	6	Genesys Logic, Inc.
0001A4	6	Microlink Corporation
0001A5	6	Nextcomm, Inc.
0001A6	6	Scientific-Atlanta Arcodan A/S
0001A7	6	Unex Technology Corporation
0001A8	6	Welltech Computer Co., Ltd.
0001A9	6	Bmw Ag
0001AA	6	Airspan Communications, Ltd.
0001AB	6	Main Street Networks
0001AC	6	Sitara Networks, Inc.
0001AD	6	Coach Master International d.b.a. CMI Worldwide, Inc.
0001AE	6	Trex Enterprises
0001AF	6	Artesyn Embedded Technologies
0001B0	6	Fulltek Technology Co., Ltd.
0001B1	6	General Bandwidth
0001B2	6	Digital Processing Systems, Inc.
0001B3	6	Precision Electronic Manufacturing
0001B4	6	Wayport, Inc.
0001B5	6	Turin Networks, Inc.
0001B6	6	SAEJIN T&M Co., Ltd.
0001B7	6	Centos, Inc.
0001B8	6	Netsensity, Inc.
0001B9	6	SKF (U.K.) Limited
0001BA	6	IC-Net, Inc.
0001BB	6	Frequentis
0001BC	6	Brains Corporation
0001BD	6	Peterson Electro-Musical Products, Inc.
0001BE	6	Gigalink Co., Ltd.
0001BF	6	Teleforce Co., Ltd.
0001C0	6	CompuLab, Ltd.
0001C1	6	Vitesse Semiconductor Corporation
0001C2	6	ARK Research Corp.
0001C3	6	Acromag, Inc.
0001C4	6	NeoWave, Inc.
0001C5	6	Simpler Networks
0001C6	6	Quarry Technologies
0001C7	6	Cisco Systems, Inc
0001C8	6	Thomas Conrad Corp.
0001C9	6	Cisco Systems, Inc
0001CA	6	Geocast Network Systems, Inc.
0001CB	6	Evr
0001CC	6	Brand Maker Enabler Inc.
0001CD	6	ARtem
0001CE	6	Custom Micro Products, Ltd.
0001CF	6	Alpha Data Parallel Systems, Ltd.
0001D0	6	VitalPoint, Inc.
0001D1	6	CoNet Communications, Inc.
0001D2	6	inXtron, Inc.
0001D3	6	PAXCOMM, Inc.
0001D4	6	Leisure Time, Inc.
0001D5	6	Haedong Info & Comm Co., Ltd
0001D6	6	manroland AG
0001D7	6	F5 Inc.
0001D8	6	Teltronics, Inc.
0001D9	6	Sigma, Inc.
0001DA	6	WINCOMM Corporation
0001DB	6	Freecom Technologies GmbH
0001DC	6	Activetelco
0001DD	6	Avail Networks
0001DE	6	Trango Systems, Inc.
0001DF	6	ISDN Communications, Ltd.
0001E0	6	Fast Systems, Inc.
0001E1	6	Kinpo Electronics, Inc.
0001E2	6	Ando Electric Corporation
0001E3	6	Siemens AG
0001E4	6	Sitera, Inc.
0001E5	6	Supernet, Inc.
0001E6	6	Hewlett Packard
0001E7	6	Hewlett Packard
0001E8	6	Force10 Networks, Inc.
0001E9	6	Litton Marine Systems B.V.
0001EA	6	Cirilium Corp.
0001EB	6	C-COM Corporation
0001EC	6	Ericsson Group
0001ED	6	SETA Corp.
0001EE	6	Comtrol Europe, Ltd.
0001EF	6	Camtel Technology Corp.
0001F0	6	Tridium, Inc.
0001F1	6	Innovative Concepts, Inc.
0001F2	6	Mark of the Unicorn, Inc.
0001F3	6	QPS, Inc.
0001F4	6	Enterasys
0001F5	6	Erim S.A.
0001F6	6	Association of Musical Electronics Industry
0001F7	6	Image Display Systems, Inc.
0001F8	6	Texio Technology Corporation
0001F9	6	TeraGlobal Communications Corp.
0001FA	6	Horoscas
0001FB	6	DoTop Technology, Inc.
0001FC	6	Keyence Corporation
0001FD	6	Digital Voice Systems, Inc.
0001FE	6	Digital Equipment Corporation
0001FF	6	Data Direct Networks, Inc.
000200	6	Net & Sys Co., Ltd.
000201	6	IFM Electronic gmbh
000202	6	Amino Communications, Ltd.
000203	6	Woonsang Telecom, Inc.
000204	6	Bodmann Industries Elektronik GmbH
000205	6	Hitachi Denshi, Ltd.
000206	6	Telital R&D Denmark A/S
000207	6	VisionGlobal Network Corp.
000208	6	Unify Networks, Inc.
000209	6	Shenzhen SED Information Technology Co., Ltd.
00020A	6	Gefran Spa
00020B	6	Native Networks, Inc.
00020C	6	Metro-Optix
00020D	6	Micronpc.com
00020E	6	ECI Telecom Ltd.
00020F	6	Aatr
000210	6	Fenecom
000211	6	Nature Worldwide Technology Corp.
000212	6	SierraCom
000213	6	S.D.E.L.
000214	6	Dtvro
000215	6	Cotas Computer Technology A/B
000216	6	Cisco Systems, Inc
000217	6	Cisco Systems, Inc
000218	6	Advanced Scientific Corp
000219	6	Paralon Technologies
00021A	6	Zuma Networks
00021B	6	Kollmorgen-Servotronix
00021C	6	Network Elements, Inc.
00021D	6	Data General Communication Ltd.
00021E	6	Simtel S.R.L.
00021F	6	Aculab PLC
000220	6	Canon Finetech Inc.
000221	6	DSP Application, Ltd.
000222	6	Chromisys, Inc.
000223	6	ClickTV
000224	6	C-Cor
000225	6	One Stop Systems
000226	6	XESystems, Inc.
000227	6	ESD Electronic System Design GmbH
000228	6	Necsom, Ltd.
000229	6	Adtec Corporation
00022A	6	Asound Electronic
00022B	6	SAXA, Inc.
00022C	6	ABB Bomem, Inc.
00022D	6	Agere Systems
00022E	6	TEAC Corp. R& D
00022F	6	P-Cube, Ltd.
000230	6	Intersoft Electronics
000231	6	Ingersoll-Rand
000232	6	Avision, Inc.
000233	6	Mantra Communications, Inc.
